report_name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,all_sex,male,female,all_races,white,black,asian,his_lan,all_union,member,repped_by,non-union,all_edu,less_hs,hs,some_col,bach,advan
Black + Male + Some College,432,450,475,500,500,540,562,561,576,580,600,600,634,640,640,649,673,680,652,673,700,725,720,750,769,800,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
Black + Male + Bachelors Degree,600,615,615,673,730,711,761,788,763,808,807,865,865,874,900,951,962,962,971,923,1000,962,962,1000,1057,1154,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
Black + Male + Advanced Degree,777,798,846,885,955,961,1057,961,960,1054,1057,1154,1153,1211,1200,1250,1154,1346,1269,1346,1288,1288,1300,1400,1442,1538,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
Black + Female,360,366,380,400,409,440,460,480,490,500,500,520,550,576,595,600,600,600,615,615,600,640,661,653,700,769,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
Black + Female + Less than HS,260,260,264,270,280,300,300,317,328,320,338,360,360,381,393,398,400,368,400,418,400,400,440,420,480,520,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
Black + Female + High School,307,320,320,350,356,377,396,400,420,440,430,440,464,480,490,481,485,495,500,500,480,519,520,540,560,600,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
Black + Female + Some College,375,395,397,410,423,450,480,480,490,500,500,520,539,568,575,576,576,577,577,577,573,600,609,600,638,692,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
Black + Female + Bachelors Degree,530,538,555,578,634,660,682,687,750,720,711,760,769,808,816,827,824,808,904,865,900,846,900,923,961,1000,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
Black + Female + Advanced Degree,745,726,692,769,826,775,807,888,903,961,962,962,1057,1058,1058,1000,1038,1145,1154,1096,1058,1150,1115,1154,1225,1269,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
Asian,480,480,500,531,576,600,613,623,673,673,720,761,800,827,840,810,840,884,920,944,961,1000,1000,1057,1153,1250,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
Asian + Less than HS,282,300,300,320,320,334,360,360,371,400,384,450,400,420,429,448,440,450,440,480,462,500,500,520,552,600,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
Asian + High School,364,365,384,400,420,448,456,472,480,480,502,520,550,560,568,576,560,562,577,600,600,623,625,660,680,700,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
Asian + Some College,461,448,464,480,507,530,540,560,577,577,600,600,650,640,650,670,673,673,692,710,700,720,750,769,800,865,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
Asian + Bachelors Degree,615,634,653,692,720,769,800,800,800,865,880,923,962,1000,980,1000,1000,1058,1130,1120,1153,1154,1250,1200,1346,1346,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
Asian + Advanced Degree,847,880,950,923,961,1057,1150,1153,1153,1240,1250,1250,1269,1385,1360,1442,1385,1442,1500,1538,1538,1635,1635,1654,1846,1903,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
Asian + Male,550,571,576,600,640,680,712,730,769,769,800,848,923,961,942,923,961,1000,1038,1019,1076,1115,1154,1200,1250,1400,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
Asian + Male + Less than HS,320,320,320,346,360,364,370,384,400,432,406,466,443,481,481,480,480,462,480,500,480,574,566,577,600,600,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
Asian + Male + High School,400,424,400,440,458,500,500,535,518,530,553,568,601,595,600,607,600,615,600,625,640,668,685,750,720,786,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
Asian + Male + Some College,500,480,500,520,576,600,615,617,660,600,640,665,720,692,712,707,750,720,775,747,769,800,800,852,875,962,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
Asian + Male + Bachelors Degree,692,680,720,750,800,850,876,923,923,961,962,1038,1096,1153,1057,1101,1154,1192,1250,1229,1250,1317,1397,1384,1500,1519,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
Asian + Male + Advanced Degree,924,961,1000,961,1090,1169,1218,1250,1250,1346,1385,1423,1442,1538,1505,1538,1538,1538,1692,1730,1720,1846,1796,1836,1961,1971,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
Asian + Female,420,426,450,462,500,520,530,538,576,577,635,664,692,730,758,750,740,760,800,833,840,865,890,903,1000,1098,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
Asian + Female + Less than HS,250,266,280,294,300,304,330,350,350,360,355,400,380,396,400,423,413,411,400,420,450,450,450,480,480,600,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
Asian + Female + High School,323,325,355,352,400,400,400,421,440,440,480,481,481,515,520,520,520,500,558,552,575,598,600,580,600,600,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
Asian + Female + Some College,403,415,416,431,461,480,480,480,532,524,550,569,580,600,600,615,600,596,640,673,628,673,673,673,750,775,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
Asian + Female + Bachelors Degree,549,575,600,640,646,692,700,692,720,769,800,800,831,904,923,930,904,961,962,1000,1000,1057,1049,1057,1154,1200,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
Asian + Female + Advanced Degree,769,750,806,848,842,923,880,944,904,1000,1058,1080,1115,1154,1154,1250,1165,1250,1244,1327,1346,1403,1442,1442,1578,1635,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
