,95,96,97,98,99,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20
Hispanic or Latino + Male + Less than HS,280.0,292.0,300.0,320.0,323.0,346.0,360.0,384.0,400.0,400.0,400.0,400.0,420.0,460.0,450.0,436.0,444.0,480.0,480.0,481.0,500.0,520.0,560.0,600.0,616.0,640.0
White + Male + High School,500.0,500.0,520.0,540.0,560.0,576.0,600.0,600.0,610.0,640.0,640.0,673.0,680.0,710.0,720.0,720.0,720.0,740.0,750.0,760.0,769.0,769.0,800.0,821.0,858.0,880.0
Hispanic or Latino + Male + High School,390.0,390.0,400.0,423.0,440.0,440.0,480.0,500.0,484.0,496.0,500.0,520.0,550.0,560.0,560.0,570.0,580.0,600.0,600.0,600.0,610.0,640.0,680.0,713.0,720.0,760.0
White + Male + Some College,570.0,576.0,600.0,615.0,640.0,673.0,696.0,700.0,720.0,743.0,750.0,769.0,800.0,808.0,820.0,832.0,839.0,846.0,850.0,865.0,866.0,880.0,920.0,961.0,1000.0,1019.0
Hispanic or Latino + Male + Some College,480.0,480.0,480.0,500.0,538.0,550.0,577.0,600.0,600.0,600.0,608.0,631.0,672.0,680.0,692.0,680.0,692.0,700.0,700.0,724.0,731.0,750.0,760.0,800.0,800.0,846.0
White + Male + Bachelors Degree,769.0,769.0,807.0,865.0,913.0,950.0,961.0,1000.0,1000.0,1019.0,1058.0,1096.0,1153.0,1154.0,1200.0,1154.0,1192.0,1220.0,1250.0,1250.0,1269.0,1346.0,1346.0,1346.0,1423.0,1500.0
Hispanic or Latino + Male + Bachelors Degree,615.0,645.0,692.0,750.0,769.0,769.0,807.0,813.0,769.0,840.0,830.0,860.0,884.0,950.0,962.0,1000.0,1000.0,1000.0,1000.0,1038.0,1000.0,1147.0,1048.0,1066.0,1154.0,1250.0
White + Male + Advanced Degree,1000.0,1038.0,1057.0,1107.0,1153.0,1153.0,1250.0,1282.0,1310.0,1346.0,1385.0,1442.0,1442.0,1522.0,1538.0,1558.0,1596.0,1634.0,1634.0,1626.0,1635.0,1673.0,1731.0,1769.0,1846.0,1923.0
Hispanic or Latino + Male + Advanced Degree,903.0,923.0,804.0,945.0,1052.0,1038.0,1000.0,1076.0,1057.0,1153.0,1260.0,1211.0,1250.0,1346.0,1402.0,1385.0,1384.0,1346.0,1500.0,1471.0,1442.0,1538.0,1560.0,1500.0,1538.0,1600.0
White + Female,404.0,422.0,440.0,460.0,479.0,490.0,519.0,540.0,560.0,576.0,591.0,600.0,624.0,655.0,673.0,680.0,700.0,712.0,730.0,745.0,740.0,769.0,800.0,807.0,840.0,920.0
Hispanic or Latino + Female,307.0,320.0,323.0,346.0,360.0,378.0,400.0,408.0,404.0,414.0,440.0,442.0,470.0,500.0,508.0,510.0,520.0,523.0,547.0,546.0,560.0,577.0,600.0,608.0,640.0,700.0
White + Female + Less than HS,250.0,253.0,270.0,280.0,280.0,300.0,310.0,320.0,327.0,338.0,346.0,354.0,362.0,372.0,384.0,390.0,400.0,400.0,400.0,400.0,405.0,420.0,440.0,480.0,490.0,520.0
